Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB_total,AST_total,STL_total,BLK_total,TOV_total,PF_total,PTS_total,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS_total,DWS_total,WS_total,WS/48,OBPM,DBPM,BPM,VORP_total,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated
2018-19,Aaron Gordon,Forward,23.0,ORL,1610612753,4.0,78.0,78.0,2633.0,470.0,1046.0,0.45,121.0,347.0,0.35,349.0,699.0,0.5,0.51,185.0,253.0,0.73,129.0,445.0,574.0,289.0,57.0,56.0,162.0,172.0,1246.0,15.1,0.54,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.09,0.3,0.3,0.6,1.7,42.0,40.0,21590909.0,True,2018-11-11 - 2018-11-12; 2018-11-28 - 2018-11-30; 2019-01-21 - 2019-01-23,5.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Aaron Holiday,Guard,22.0,IND,1610612754,0.0,50.0,0.0,646.0,105.0,262.0,0.4,43.0,127.0,0.34,62.0,135.0,0.46,0.48,41.0,50.0,0.82,5.0,62.0,67.0,87.0,21.0,13.0,40.0,71.0,294.0,11.9,0.52,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.06,-1.7,0.1,-1.6,0.1,48.0,34.0,1914480.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Abdel Nader,Forward,25.0,OKC,1610612760,2.0,61.0,1.0,694.0,91.0,215.0,0.42,32.0,100.0,0.32,59.0,115.0,0.51,0.5,27.0,36.0,0.75,14.0,102.0,116.0,20.0,20.0,12.0,26.0,68.0,241.0,8.8,0.52,2.0,15.7,8.6,3.8,1.3,1.5,10.1,15.1,0.0,0.9,0.9,0.06,-3.6,0.3,-3.2,-0.2,49.0,33.0,1378242.0,True,2018-10-21 - 2018-10-26,5.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Al Horford,Center-Forward,33.0,BOS,1610612738,11.0,68.0,68.0,1973.0,387.0,723.0,0.54,73.0,203.0,0.36,314.0,520.0,0.6,0.59,78.0,95.0,0.82,120.0,338.0,458.0,283.0,59.0,86.0,102.0,126.0,925.0,20.2,0.6,6.5,18.3,12.4,21.2,1.4,3.9,11.8,19.0,4.5,2.8,7.4,0.18,3.3,1.9,5.1,3.6,49.0,33.0,28928710.0,True,2018-11-23 - 2018-11-24; 2018-11-30 - 2018-12-01; 2018-12-10 - 2018-12-23; 2019-01-23 - 2019-01-26; 2019-03-23 - 2019-03-26; 2019-03-30 - 2019-04-01; 2019-04-09 - 2019-04-14,28.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Al-Farouq Aminu,Forward,28.0,POR,1610612757,8.0,81.0,81.0,2292.0,257.0,593.0,0.43,96.0,280.0,0.34,161.0,313.0,0.51,0.51,150.0,173.0,0.87,112.0,498.0,610.0,104.0,68.0,33.0,72.0,143.0,760.0,13.2,0.57,5.3,22.6,14.2,6.0,1.4,1.2,9.7,13.7,3.0,2.8,5.8,0.12,0.1,0.6,0.7,1.5,53.0,29.0,6957105.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Alan Williams,Forward-Center,26.0,BKN,1610612751,3.0,5.0,0.0,26.0,8.0,13.0,0.62,0.0,1.0,0.0,8.0,12.0,0.67,0.62,2.0,4.0,0.5,4.0,15.0,19.0,3.0,1.0,0.0,1.0,2.0,18.0,32.9,0.61,16.2,60.3,38.4,22.3,1.8,0.0,6.3,25.5,0.1,0.1,0.2,0.31,7.6,4.2,11.8,0.1,42.0,40.0,77250.0,True,2019-02-06 - 2019-03-16; 2019-03-17 - 2019-04-10,62.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Alec Burks,Guard,27.0,UTA,1610612762,7.0,17.0,0.0,269.0,47.0,114.0,0.41,16.0,43.0,0.37,31.0,71.0,0.44,0.48,33.0,38.0,0.87,2.0,25.0,27.0,20.0,6.0,4.0,15.0,22.0,143.0,12.7,0.52,2.3,17.0,9.4,13.7,1.4,1.3,10.8,19.0,0.7,0.8,1.5,0.05,-0.6,-0.7,-1.2,0.3,39.0,43.0,11536515.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Alex Caruso,Guard,25.0,LAL,1610612747,1.0,25.0,4.0,531.0,77.0,173.0,0.45,24.0,50.0,0.48,53.0,123.0,0.43,0.51,51.0,64.0,0.8,20.0,47.0,67.0,77.0,24.0,9.0,42.0,54.0,229.0,13.9,0.57,4.0,9.0,6.5,19.7,2.1,1.4,17.3,19.0,0.5,0.6,1.0,0.09,-1.0,0.7,-0.2,0.2,37.0,45.0,77250.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Alex Len,Center,26.0,ATL,1610612737,5.0,77.0,31.0,1544.0,320.0,648.0,0.49,74.0,204.0,0.36,246.0,444.0,0.55,0.55,140.0,216.0,0.65,158.0,266.0,424.0,86.0,27.0,69.0,97.0,200.0,854.0,17.2,0.57,10.5,18.5,14.4,8.6,0.8,3.9,11.5,22.1,2.2,1.0,3.2,0.1,0.0,-1.3,-1.2,0.3,29.0,53.0,4350000.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Alex Poythress,Forward,25.0,ATL,1610612737,2.0,21.0,1.0,305.0,40.0,81.0,0.49,9.0,23.0,0.39,31.0,58.0,0.53,0.55,18.0,29.0,0.62,29.0,47.0,76.0,17.0,4.0,10.0,13.0,47.0,107.0,12.2,0.57,9.8,16.6,13.1,7.7,0.6,2.8,12.2,14.2,0.4,0.2,0.5,0.09,-2.5,-1.0,-3.5,-0.1,29.0,53.0,77250.0,True,2018-10-26 - 2018-11-01; 2018-11-19 - 2018-12-23; 2019-01-02 - 2019-02-14; 2019-02-27 - 2019-03-03; 2019-03-09 - 2030-06-19,4207.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
