Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated,2nd Apron
2018-19,Aaron Gordon,Forward,23.00,ORL,1610612753.00,4.00,78.00,78.00,2633.00,470.00,1046.00,0.45,121.00,347.00,0.35,349.00,699.00,0.50,0.51,185.00,253.00,0.73,129.00,445.00,574.00,289.00,57.00,56.00,162.00,172.00,1246.00,15.10,0.54,5.20,18.40,11.70,16.60,1.10,1.80,12.30,21.80,1.80,3.30,5.10,0.09,0.30,0.30,0.60,1.70,42.00,40.00,21590909.00,True,2018-11-11 - 2018-11-12; 2018-11-28 - 2018-11-30; 2019-01-21 - 2019-01-23,5.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Aaron Holiday,Guard,22.00,IND,1610612754.00,0.00,50.00,0.00,646.00,105.00,262.00,0.40,43.00,127.00,0.34,62.00,135.00,0.46,0.48,41.00,50.00,0.82,5.00,62.00,67.00,87.00,21.00,13.00,40.00,71.00,294.00,11.90,0.52,0.90,10.40,5.80,19.30,1.60,1.80,12.30,21.90,0.10,0.80,0.90,0.06,-1.70,0.10,-1.60,0.10,48.00,34.00,1914480.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Abdel Nader,Forward,25.00,OKC,1610612760.00,2.00,61.00,1.00,694.00,91.00,215.00,0.42,32.00,100.00,0.32,59.00,115.00,0.51,0.50,27.00,36.00,0.75,14.00,102.00,116.00,20.00,20.00,12.00,26.00,68.00,241.00,8.80,0.52,2.00,15.70,8.60,3.80,1.30,1.50,10.10,15.10,0.00,0.90,0.90,0.06,-3.60,0.30,-3.20,-0.20,49.00,33.00,1378242.00,True,2018-10-21 - 2018-10-26,5.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Al Horford,Center-Forward,33.00,BOS,1610612738.00,11.00,68.00,68.00,1973.00,387.00,723.00,0.54,73.00,203.00,0.36,314.00,520.00,0.60,0.59,78.00,95.00,0.82,120.00,338.00,458.00,283.00,59.00,86.00,102.00,126.00,925.00,20.20,0.60,6.50,18.30,12.40,21.20,1.40,3.90,11.80,19.00,4.50,2.80,7.40,0.18,3.30,1.90,5.10,3.60,49.00,33.00,28928710.00,True,2018-11-23 - 2018-11-24; 2018-11-30 - 2018-12-01; 2018-12-10 - 2018-12-23; 2019-01-23 - 2019-01-26; 2019-03-23 - 2019-03-26; 2019-03-30 - 2019-04-01; 2019-04-09 - 2019-04-14,28.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Al-Farouq Aminu,Forward,28.00,POR,1610612757.00,8.00,81.00,81.00,2292.00,257.00,593.00,0.43,96.00,280.00,0.34,161.00,313.00,0.51,0.51,150.00,173.00,0.87,112.00,498.00,610.00,104.00,68.00,33.00,72.00,143.00,760.00,13.20,0.57,5.30,22.60,14.20,6.00,1.40,1.20,9.70,13.70,3.00,2.80,5.80,0.12,0.10,0.60,0.70,1.50,53.00,29.00,6957105.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alan Williams,Forward-Center,26.00,BKN,1610612751.00,3.00,5.00,0.00,26.00,8.00,13.00,0.62,0.00,1.00,0.00,8.00,12.00,0.67,0.62,2.00,4.00,0.50,4.00,15.00,19.00,3.00,1.00,0.00,1.00,2.00,18.00,32.90,0.61,16.20,60.30,38.40,22.30,1.80,0.00,6.30,25.50,0.10,0.10,0.20,0.31,7.60,4.20,11.80,0.10,42.00,40.00,77250.00,True,2019-02-06 - 2019-03-16; 2019-03-17 - 2019-04-10,62.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alec Burks,Guard,27.00,UTA,1610612758.00,7.00,17.00,0.00,269.00,47.00,114.00,0.41,16.00,43.00,0.37,31.00,71.00,0.44,0.48,33.00,38.00,0.87,2.00,25.00,27.00,20.00,6.00,4.00,15.00,22.00,143.00,12.70,0.52,2.30,17.00,9.40,13.70,1.40,1.30,10.80,19.00,0.70,0.80,1.50,0.05,-0.60,-0.70,-1.20,0.30,39.00,43.00,11536515.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alex Abrines,Guard,25.00,OKC,0.00,5.00,31.00,2.00,588.00,56.00,157.00,0.36,41.00,127.00,0.32,15.00,30.00,0.50,0.49,12.00,13.00,0.92,5.00,43.00,48.00,20.00,17.00,6.00,14.00,53.00,165.00,6.30,0.51,0.90,7.80,4.20,4.30,1.30,0.90,7.90,12.20,0.10,0.60,0.60,0.05,-3.70,0.40,-3.30,-0.20,,,3667645.00,True,2018-12-28 - 2019-01-21,24.00,High Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alex Caruso,Guard,25.00,LAL,1610612747.00,1.00,25.00,4.00,531.00,77.00,173.00,0.45,24.00,50.00,0.48,53.00,123.00,0.43,0.51,51.00,64.00,0.80,20.00,47.00,67.00,77.00,24.00,9.00,42.00,54.00,229.00,13.90,0.57,4.00,9.00,6.50,19.70,2.10,1.40,17.30,19.00,0.50,0.60,1.00,0.09,-1.00,0.70,-0.20,0.20,37.00,45.00,77250.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
2018-19,Alex Len,Center,26.00,ATL,1610612737.00,5.00,77.00,31.00,1544.00,320.00,648.00,0.49,74.00,204.00,0.36,246.00,444.00,0.55,0.55,140.00,216.00,0.65,158.00,266.00,424.00,86.00,27.00,69.00,97.00,200.00,854.00,17.20,0.57,10.50,18.50,14.40,8.60,0.80,3.90,11.50,22.10,2.20,1.00,3.20,0.10,0.00,-1.30,-1.20,0.30,29.00,53.00,4350000.00,False,,0.00,Low Risk,101869000.00,123733000.00,129817000.00,3382000.00,8641000.00,5337000.00,4449000.00,118724178.12,
